step,percent,mean_exact,mean_hll,std_hll,mean_improved,std_improved
1,5,3859.9,3886.7,118.7,3886.7,118.7
2,10.0,6177.9,6205.4,143.8,6205.4,143.8
3,15.0,7567.4,7628.9,210.2,7628.9,210.2
4,20.0,8417.5,8506.7,168.7,8506.7,168.7
5,25.0,8927.7,9069.5,211.7,9069.5,211.7
6,30.0,9236.8,9374.9,240.4,9374.9,240.4
7,35.0,9421.5,9548.3,223.2,9548.3,223.2
8,40.0,9539.6,9662.8,220.8,9662.8,220.8
9,45.0,9611.7,9735.0,225.0,9735.0,225.0
10,50.0,9652.5,9779.6,218.7,9779.6,218.7
11,55.0,9677.6,9805.3,228.4,9805.3,228.4
12,60.0,9692.3,9821.1,232.8,9821.1,232.8
13,65.0,9701.6,9826.6,234.5,9826.6,234.5
14,70.0,9707.2,9833.8,236.3,9833.8,236.3
15,75.0,9710.6,9842.2,240.1,9842.2,240.1
16,80.0,9712.7,9842.2,240.1,9842.2,240.1
17,85.0,9713.7,9843.6,237.7,9843.6,237.7
18,90.0,9714.6,9846.7,239.2,9846.7,239.2
19,95.0,9715.3,9846.7,239.2,9846.7,239.2
20,100.0,9715.6,9846.7,239.2,9846.7,239.2
