step,percent,exact,estimate_hll,estimate_improved
1,5,3842,4068.7,4068.7
2,10.0,6133,6421.6,6421.6
3,15.0,7543,7862.2,7862.2
4,20.0,8379,8734.7,8734.7
5,25.0,8889,9211.4,9211.4
6,30.0,9205,9557.7,9557.7
7,35.0,9409,9776.3,9776.3
8,40.0,9532,9870.1,9870.1
9,45.0,9601,9925.8,9925.8
10,50.0,9637,9933.9,9933.9
11,55.0,9667,10041.2,10041.2
12,60.0,9678,10041.2,10041.2
13,65.0,9684,10041.2,10041.2
14,70.0,9692,10063.7,10063.7
15,75.0,9697,10063.7,10063.7
16,80.0,9698,10063.7,10063.7
17,85.0,9699,10063.7,10063.7
18,90.0,9699,10063.7,10063.7
19,95.0,9699,10063.7,10063.7
20,100.0,9699,10063.7,10063.7
